year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand
2012,260000,42000,4,0,1,0,8
2011,290000,60000,1,1,1,2,21
2014,220000,70000,4,1,1,0,3
2017,725000,18500,1,0,1,0,12
2010,75000,100000,1,1,1,4,19
2018,680000,48600,4,0,1,0,9
2010,400000,50000,1,1,1,0,11
2009,130000,100000,1,1,1,4,8
2009,270000,120000,1,1,1,2,12
2005,140000,80000,4,1,1,4,10
2012,330000,44000,4,1,1,0,10
2012,287000,70000,1,1,1,0,20
2017,710000,40000,1,1,1,0,8
2011,120000,90000,4,1,1,2,3
2019,265000,40000,4,1,1,0,17
2015,470000,146000,1,0,1,0,8
2017,520000,10510,4,0,0,0,10
2015,250000,25000,4,1,1,0,12
2008,300000,270000,1,1,1,4,11
1998,40000,40000,4,1,1,1,12
